Name,Name_encoding,Location,Location_encoding,Year,year_encoding,Kilometers_Driven,Fuel_codes,Fuel_Type,Transmission,Transmission_codes,Owner_Type,owner_encoding,Mileage,Engine,Power,Seats,New_Price,Price
Maruti Wagon R LXI CNG,1200,Mumbai,9,2010,12,72000,0,CNG,Manual,1,First,0,26.6,998,58.16,5,,1.75
Hyundai Creta 1.6 CRDi SX Option,512,Pune,10,2015,17,41000,1,Diesel,Manual,1,First,0,19.67,1582,126.2,5,,12.5
Honda Jazz V,486,Chennai,2,2011,13,46000,4,Petrol,Manual,1,First,0,18.2,1199,88.7,5,8.61 Lakh,4.5
Maruti Ertiga VDI,1059,Chennai,2,2012,14,87000,1,Diesel,Manual,1,First,0,20.77,1248,88.76,7,,6
Audi A4 New 2.0 TDI Multitronic,23,Coimbatore,3,2013,15,40670,1,Diesel,Automatic,0,Second,2,15.2,1968,140.8,5,,17.74
Hyundai EON LPG Era Plus Option,530,Hyderabad,5,2012,14,75000,3,LPG,Manual,1,First,0,21.1,814,55.2,5,,2.35
Nissan Micra Diesel XV,1378,Jaipur,6,2013,15,86999,1,Diesel,Manual,1,First,0,23.08,1461,63.1,5,,3.5
Toyota Innova Crysta 2.8 GX AT 8S,1778,Mumbai,9,2016,18,36000,1,Diesel,Automatic,0,First,0,11.36,2755,171.5,8,21 Lakh,17.5
Volkswagen Vento Diesel Comfortline,1847,Pune,10,2013,15,64430,1,Diesel,Manual,1,First,0,20.54,1598,103.6,5,,5.2
Tata Indica Vista Quadrajet LS,1582,Chennai,2,2012,14,65932,1,Diesel,Manual,1,Second,2,22.3,1248,74,5,,1.95
Maruti Ciaz Zeta,1038,Kochi,7,2018,20,25692,4,Petrol,Manual,1,First,0,21.56,1462,103.25,5,10.65 Lakh,9.95
Honda City 1.5 V AT Sunroof,422,Kolkata,8,2012,14,60000,4,Petrol,Automatic,0,First,0,16.8,1497,116.3,5,,4.49
Maruti Swift VDI BSIV,1160,Jaipur,6,2015,17,64424,1,Diesel,Manual,1,First,0,25.2,1248,74,5,,5.6
Land Rover Range Rover 2.2L Pure,813,Delhi,4,2014,16,72000,1,Diesel,Automatic,0,First,0,12.7,2179,187.7,5,,27
Land Rover Freelander 2 TD4 SE,810,Pune,10,2012,14,85000,1,Diesel,Automatic,0,Second,2,0,2179,115,5,,17.5
Mitsubishi Pajero Sport 4X4,1369,Delhi,4,2014,16,110000,1,Diesel,Manual,1,First,0,13.5,2477,175.56,7,32.01 Lakh,15
